datetime, TC_4, TC_3, TC_2, TC_1, TC_8, TC_7, TC_6, TC_5, Fan Current L, Fan Currrent R, T_L, RH_L, T_R, RH_R, T_Out, RH_Out
1491351690, 27.5750007629, 27.5000000000, 26.9750003815, 28.4375000000, 44.9749984741, 43.6250000000, 40.7000007629, 36.7625007629, -0.2800000012, 45.5999984741, 29.5876255035, 46.7994194031, 29.5021743774, 43.4042892456, 29.2999992371, 52.0999984741, 
1491351723, 27.6124992371, 27.2749996185, 27.0125007629, 28.5874996185, 55.8499984741, 56.9749984741, 50.5999984741, 44.1500015259, -0.2000000030, 51.3199996948, 29.7291526794, 64.9607086182, 29.5716037750, 43.2852668762, 29.3999996185, 52.0000000000, 
1491351756, 27.6124992371, 27.2374992371, 26.9375000000, 28.3999996185, 62.4874992371, 65.4499969482, 57.4249992371, 49.4375000000, -0.0799999982, 60.7999992371, 30.0949878693, 89.1767730713, 29.6276798248, 43.2578010559, 29.3999996185, 51.5999984741, 
1491351789, 27.6124992371, 27.2374992371, 26.9750003815, 28.3624992371, 67.5500030518, 71.4875030518, 62.7874984741, 53.5999984741, -0.4000000060, 71.9199981689, 30.6450748444, 96.8642730713, 29.6837558746, 43.2989997864, 29.5000000000, 51.2000007629, 
1491351822, 27.6124992371, 27.2374992371, 27.0125007629, 28.3250007629, 71.4875030518, 75.9875030518, 67.0250015259, 57.0125007629, -0.4799999893, 53.7999992371, 31.1097126007, 98.2879409790, 29.7264823914, 43.2562751770, 29.6000003815, 50.7999992371, 
1491351856, 27.6124992371, 27.2374992371, 26.9750003815, 28.3999996185, 74.6750030518, 79.5500030518, 70.4375000000, 59.8624992371, -0.2800000012, 59.0000000000, 31.5156021118, 98.8967742920, 29.7825584412, 43.2928962708, 29.6000003815, 50.4000015259, 
1491351889, 27.6875000000, 27.2749996185, 26.9750003815, 28.3999996185, 77.3000030518, 82.4000015259, 73.2874984741, 62.2249984741, -0.2000000030, 53.7999992371, 31.8974590302, 99.1943206787, 29.8119316101, 43.3295173645, 29.7000007629, 50.0999984741, 
1491351922, 27.5750007629, 27.2374992371, 27.0874996185, 28.4375000000, 79.5124969482, 84.8000030518, 75.6500015259, 64.2500000000, -0.4000000060, 64.5199966431, 32.2793159485, 99.4598312378, 29.8680095673, 43.2852668762, 29.7999992371, 50.0000000000, 
1491351955, 27.7250003815, 27.2374992371, 26.9750003815, 28.5125007629, 81.3874969482, 86.9000015259, 77.6750030518, 65.9749984741, -0.6000000238, 49.9199981689, 32.4902725220, 99.5925827026, 29.8813610077, 43.2471199036, 29.8999996185, 50.0000000000, 
1491351988, 27.6499996185, 27.3500003815, 27.0874996185, 28.4750003815, 83.1500015259, 88.6999969482, 79.4749984741, 67.5124969482, -0.0799999982, 58.9199981689, 32.7145805359, 99.6871871948, 29.9107341766, 43.3798751831, 29.8999996185, 49.9000015259, 
1491352021, 27.6875000000, 27.2749996185, 27.0874996185, 28.4375000000, 84.6500015259, 90.3499984741, 81.0500030518, 68.9000015259, -0.2000000030, 51.7999992371, 32.8988342285, 99.7650146484, 29.9240856171, 43.3386726379, 30.0000000000, 49.7999992371, 
1491352054, 27.7625007629, 27.2749996185, 27.0125007629, 28.3999996185, 86.0374984741, 91.8125000000, 82.5124969482, 70.0625000000, -0.4799999893, 50.7200012207, 33.0697326660, 99.7650146484, 29.9240856171, 43.3539314270, 30.0000000000, 49.5999984741, 
1491352087, 27.7999992371, 27.3500003815, 27.0874996185, 28.4750003815, 87.2375030518, 93.1624984741, 83.7874984741, 71.1875000000, -0.4000000060, 51.2000007629, 33.2085914612, 99.7466964722, 29.9107341766, 43.4439620972, 30.1000003815, 49.5000000000, 
1491352120, 27.7999992371, 27.3500003815, 27.0874996185, 28.5125007629, 88.3625030518, 94.3625030518, 84.9875030518, 72.1999969482, -0.4799999893, 49.5999984741, 33.3634681702, 99.7390670776, 29.9534606934, 43.4729537964, 30.1000003815, 49.4000015259, 
1491352153, 27.7250003815, 27.3125000000, 27.2000007629, 28.6625003815, 89.4124984741, 95.4875030518, 86.0374984741, 73.1374969482, -0.6000000238, 59.1199989319, 33.5343704224, 99.6551437378, 29.9801635742, 43.4943161011, 30.1000003815, 49.5000000000, 
1491352186, 27.7625007629, 27.3125000000, 27.1625003815, 28.4375000000, 90.3499984741, 96.5374984741, 87.0124969482, 74.0000000000, -0.6000000238, 52.5999984741, 33.7159538269, 99.4964523315, 30.0522613525, 43.5263595581, 30.2000007629, 49.5999984741, 
1491352219, 27.7625007629, 27.3125000000, 27.2000007629, 28.5874996185, 91.2125015259, 97.4375000000, 87.9124984741, 74.8625030518, -0.2800000012, 55.5200004578, 33.8601493835, 99.2614669800, 30.0656147003, 43.5309371948, 30.2000007629, 49.7000007629, 
1491352252, 27.8374996185, 27.3500003815, 27.2000007629, 28.5499992371, 92.0374984741, 98.3000030518, 88.7375030518, 75.6125030518, -0.6000000238, 49.7200012207, 33.9856567383, 98.8509979248, 30.1083393097, 43.5370407104, 30.2999992371, 49.7000007629, 
1491352285, 27.8374996185, 27.3500003815, 27.2000007629, 28.5874996185, 92.7874984741, 99.0875015259, 89.5250015259, 76.3249969482, -0.6000000238, 48.7200012207, 34.0844573975, 98.3566055298, 30.1483936310, 43.5538253784, 30.3999996185, 49.5000000000, 
