datetime, TC_4, TC_3, TC_2, TC_1, TC_8, TC_7, TC_6, TC_5, Fan Current L, Fan Currrent R, T_L, RH_L, T_R, RH_R, T_Out, RH_Out
1492121427, 31.2124996185, 31.2500000000, 30.8374996185, 31.7749996185, 28.0249996185, 27.5000000000, 28.1375007629, 27.7625007629, 45.5999984741, 62.9199981689, 29.3499660492, 42.7206840515, 31.8974590302, 47.9407958984, 26.6000003815, 57.7999992371, 
1492121460, 30.9500007629, 30.9874992371, 30.4249992371, 31.5125007629, 27.9125003815, 27.4249992371, 28.0625000000, 27.6875000000, 78.5999984741, 59.2000007629, 29.3072395325, 42.5925064087, 31.7425804138, 47.1900520325, 26.6000003815, 57.7999992371, 
1492121493, 31.1000003815, 30.7250003815, 30.1250000000, 31.2875003815, 27.7999992371, 27.3125000000, 27.9500007629, 27.5750007629, 51.2000007629, 62.5999984741, 29.2084388733, 42.3788833618, 31.5289535522, 46.5217056274, 26.6000003815, 57.7999992371, 
1492121526, 30.4624996185, 30.4249992371, 29.8999996185, 31.0249996185, 27.7625007629, 27.2000007629, 27.8750000000, 27.5000000000, 55.5999984741, 53.1199989319, 29.1363391876, 42.2400245667, 31.4034481049, 45.9082946777, 26.6000003815, 57.7999992371, 
1492121559, 30.2000007629, 30.1625003815, 29.6375007629, 30.8374996185, 27.6499996185, 27.1250000000, 27.7625007629, 27.4249992371, 48.5999984741, 66.5199966431, 29.0936145782, 42.0843811035, 31.2352180481, 45.3269233704, 26.6000003815, 57.7000007629, 
1492121592, 30.0125007629, 29.9375000000, 29.4500007629, 30.6124992371, 27.5750007629, 27.0499992371, 27.6875000000, 27.3500003815, 70.8000030518, 45.5999984741, 29.0535583496, 41.8875427246, 31.1097126007, 44.8187980652, 26.6000003815, 57.4000015259, 
1492121625, 29.7875003815, 29.8999996185, 29.2250003815, 30.4249992371, 27.5000000000, 27.0125007629, 27.6124992371, 27.2749996185, 43.1199989319, 43.9199981689, 29.0375366211, 41.6510276794, 30.9788665771, 44.3198280334, 26.7000007629, 57.0000000000, 
1492121658, 29.6375007629, 29.5249996185, 29.0750007629, 30.3875007629, 27.4624996185, 26.9375000000, 27.5375003815, 27.2000007629, 51.5200004578, 56.5999984741, 29.0241851807, 41.5304794312, 30.8827342987, 43.8147544861, 26.7000007629, 56.5000000000, 
1492121691, 29.4125003815, 29.3374996185, 28.8875007629, 30.0499992371, 27.3875007629, 26.9375000000, 27.5000000000, 27.1625003815, 59.3199996948, 51.5200004578, 28.9974822998, 41.3336372375, 30.7705802917, 43.3661384583, 26.7999992371, 56.0000000000, 
1492121724, 29.2625007629, 29.1499996185, 28.7000007629, 29.9375000000, 27.3125000000, 26.8624992371, 27.4249992371, 27.2000007629, 50.5999984741, 62.1199989319, 28.9974822998, 41.2008857727, 30.6851291656, 42.9312591553, 26.8999996185, 55.5999984741, 
