datetime, TC_4, TC_3, TC_2, TC_1, TC_8, TC_7, TC_6, TC_5, Fan Current L, Fan Currrent R, T_L, RH_L, T_R, RH_R, T_Out, RH_Out
1488266446, 26.2625007629, 26.4500007629, 25.7000007629, 26.9375000000, 41.7874984741, 41.1500015259, 38.2999992371, 33.1250000000, -0.2800000012, 62.2000007629, 25.0694293976, 9.8329133987, 26.8371868134, 12.5246047974, 21.7000007629, 25.6000003815, 
1488266479, 26.0750007629, 26.2250003815, 25.3624992371, 26.7124996185, 53.0750007629, 55.8499984741, 49.1375007629, 41.1500015259, -0.2000000030, 69.1999969482, 25.1121540070, 15.7564659119, 26.8104820251, 13.0113677979, 21.7000007629, 25.6000003815, 
1488266512, 25.8875007629, 26.0000000000, 25.1749992371, 26.4874992371, 60.4249992371, 65.3000030518, 56.4500007629, 47.0374984741, -0.4000000060, 67.1200027466, 25.2243080139, 25.2979316711, 26.7677574158, 13.2753486633, 21.7000007629, 25.5000000000, 
1488266545, 25.6625003815, 25.8125000000, 24.9500007629, 26.3374996185, 65.9375000000, 71.9375000000, 62.1124992371, 51.7249984741, -0.4000000060, 64.5999984741, 25.4058895111, 35.4085617065, 26.6823062897, 13.5881586075, 21.7000007629, 25.3999996185, 
1488266578, 25.4750003815, 25.6250000000, 24.7625007629, 26.1875000000, 70.4000015259, 77.0000000000, 66.6875000000, 55.5125007629, -0.4000000060, 45.2000007629, 25.6462192535, 44.8874664307, 26.6395816803, 13.8124666214, 21.7000007629, 25.3999996185, 
1488266611, 25.3250007629, 25.4375000000, 24.6124992371, 26.0375003815, 74.0374984741, 80.9749984741, 70.3625030518, 58.6250000000, -0.2000000030, 62.7200012207, 25.9399566650, 52.5368118286, 26.5835056305, 14.0001525879, 21.7000007629, 25.3999996185, 
1488266644, 25.3250007629, 25.2875003815, 24.4624996185, 25.8875007629, 77.0000000000, 84.1999969482, 73.4000015259, 61.3250007629, -0.2000000030, 57.1199989319, 26.2096595764, 60.0244140625, 26.4980545044, 14.2641334534, 21.7000007629, 25.3999996185, 
1488266677, 25.0249996185, 25.1000003815, 24.4624996185, 25.7374992371, 79.5500030518, 86.8249969482, 75.9875030518, 63.6124992371, -0.6000000238, 61.3199996948, 26.4900436401, 65.2216339111, 26.4580001831, 14.3831539154, 21.7000007629, 25.2999992371, 
1488266710, 24.8750000000, 24.9874992371, 24.2000007629, 25.8125000000, 81.6500015259, 89.0374984741, 78.1999969482, 65.5625000000, -0.6800000072, 65.3199996948, 26.7010002136, 68.7922515869, 26.3725490570, 14.6593427658, 21.7000007629, 25.3999996185, 
1488266743, 24.7625007629, 24.8374996185, 24.0499992371, 25.5125007629, 83.4499969482, 90.9124984741, 80.0749969482, 67.2125015259, -0.2800000012, 47.7999992371, 26.9146251678, 72.0408935547, 26.3031196594, 14.7417411804, 21.7000007629, 25.3999996185, 
1488266776, 24.6875000000, 24.7250003815, 23.9375000000, 25.3999996185, 84.9875030518, 92.4875030518, 81.7249984741, 68.7125015259, -0.4799999893, 72.5199966431, 27.0828571320, 74.7417373657, 26.2310218811, 14.8424501419, 21.7000007629, 25.3999996185, 
1488266809, 24.5750007629, 24.6124992371, 23.8250007629, 25.2875003815, 86.3375015259, 93.9124984741, 83.1125030518, 70.0250015259, -0.4799999893, 45.3199996948, 27.2217140198, 76.9680328369, 26.1615924835, 14.9645223618, 21.7000007629, 25.2999992371, 
1488266842, 24.4624996185, 24.4624996185, 23.7500000000, 25.1749992371, 87.5374984741, 95.1125030518, 84.3125000000, 71.1875000000, -0.4000000060, 64.7200012207, 27.4219875336, 78.5809097290, 26.0894947052, 15.0835428238, 21.7000007629, 25.2999992371, 
1488266875, 24.3500003815, 24.3875007629, 23.6375007629, 25.1000003815, 88.5875015259, 96.1999969482, 85.4375000000, 72.2375030518, -0.4000000060, 61.7999992371, 27.5341415405, 79.5590133667, 26.0467681885, 15.1674680710, 21.7000007629, 25.2000007629, 
1488266909, 24.4624996185, 24.3125000000, 23.5249996185, 25.0249996185, 89.5250015259, 97.1374969482, 86.4124984741, 73.2125015259, -0.2000000030, 58.5999984741, 27.7157249451, 80.0991821289, 25.9639892578, 15.2712287903, 21.7000007629, 25.2000007629, 
1488266942, 24.1625003815, 24.1625003815, 23.4874992371, 24.9125003815, 90.3499984741, 98.0374984741, 87.3499984741, 74.0749969482, -0.4000000060, 51.9199981689, 27.9400329590, 80.1831054687, 25.9079113007, 15.3688869476, 21.7000007629, 25.2000007629, 
1488266975, 24.1250000000, 24.0874996185, 23.3750000000, 25.0249996185, 91.1750030518, 98.8249969482, 88.1750030518, 74.9000015259, -0.4000000060, 54.7200012207, 28.2230873108, 79.7604370117, 25.8224620819, 15.4360265732, 21.7000007629, 25.2000007629, 
1488267008, 24.0125007629, 24.0125007629, 23.2999992371, 24.7625007629, 91.8499984741, 99.5749969482, 88.9625015259, 75.6500015259, -0.4799999893, 49.0000000000, 28.4607467651, 79.3850631714, 25.7797355652, 15.5565729141, 21.7000007629, 25.2000007629, 
1488267041, 23.9750003815, 23.9375000000, 23.2250003815, 24.6875000000, 92.5250015259, 100.2125015259, 89.6374969482, 76.3625030518, -0.2800000012, 56.5999984741, 28.6743717194, 78.8860931396, 25.7103080750, 15.6755933762, 21.7000007629, 25.2000007629, 
1488267074, 23.8624992371, 23.8624992371, 23.1875000000, 24.5750007629, 93.0875015259, 100.8125000000, 90.3125000000, 77.0374984741, -0.4799999893, 44.1199989319, 28.8986797333, 78.3047256470, 25.6542301178, 15.7259483337, 21.7000007629, 25.2000007629, 
1488267107, 23.8250007629, 23.7500000000, 23.1124992371, 24.5000000000, 93.6875000000, 101.4124984741, 90.9124984741, 77.5999984741, -0.2800000012, 60.5200004578, 29.1657123566, 77.6592636108, 25.6115055084, 15.8800640106, 21.7000007629, 25.2000007629, 
1488267140, 23.7500000000, 23.6749992371, 23.0375003815, 24.4249992371, 94.1750030518, 101.9375000000, 91.4375000000, 78.2375030518, -0.4799999893, 61.3199996948, 29.4327449799, 76.7406692505, 25.5100326538, 15.9624624252, 21.7000007629, 25.2000007629, 
1488267173, 23.8250007629, 23.6000003815, 22.9249992371, 24.3875007629, 94.6624984741, 102.4250030518, 91.9625015259, 78.7624969482, -0.8000000119, 50.0000000000, 29.6169986725, 75.9792480469, 25.4833297729, 16.0494384766, 21.7000007629, 25.2000007629, 
1488267206, 23.6375007629, 23.5249996185, 23.0375003815, 24.3125000000, 95.1125030518, 102.8750000000, 92.4875030518, 79.2874984741, -0.2800000012, 56.5200004578, 29.8439769745, 75.1369476318, 25.4406051636, 16.0997943878, 21.7000007629, 25.2000007629, 
1488267239, 23.5625000000, 23.4874992371, 22.8125000000, 24.4249992371, 95.5625000000, 103.3625030518, 92.9375000000, 79.7750015259, -0.6800000072, 51.0000000000, 30.0816364288, 74.4090957642, 25.3711757660, 16.2005043030, 21.7000007629, 25.2000007629, 
