datetime, TC_4, TC_3, TC_2, TC_1, TC_8, TC_7, TC_6, TC_5, Fan Current L, Fan Currrent R, T_L, RH_L, T_R, RH_R, T_Out, RH_Out
1491216244, 25.7374992371, 28.4375000000, 27.2374992371, 28.0249996185, 19.9624996185, 18.8750000000, 20.8250007629, 19.2500000000, 49.4000015259, 60.2000007629, 20.1934089661, 38.8952484131, 25.7663841248, 32.0958251953, 18.5000000000, 43.9000015259, 
1491216277, 25.0625000000, 27.8374996185, 26.7500000000, 27.4249992371, 19.8125000000, 18.7625007629, 20.6749992371, 19.1000003815, 49.7200012207, 53.9199981689, 20.1373310089, 38.3092994690, 25.5447463989, 31.3633937836, 18.6000003815, 43.2999992371, 
1491216310, 24.6124992371, 27.2749996185, 26.1875000000, 26.8999996185, 19.5499992371, 18.6124992371, 20.5625000000, 18.9874992371, 73.1200027466, 62.0000000000, 20.0518798828, 37.8545799255, 25.3177700043, 30.9285106659, 18.6000003815, 42.9000015259, 
1491216343, 24.2000007629, 26.7124996185, 25.7374992371, 26.4125003815, 19.5499992371, 18.5000000000, 20.4125003815, 18.9125003815, 50.7200012207, 51.0000000000, 19.9691009521, 37.4685287476, 25.0801105499, 30.5622940063, 18.7000007629, 42.7000007629, 
1491216376, 23.7875003815, 26.2625007629, 25.2875003815, 25.9249992371, 19.4375000000, 18.3875007629, 20.3374996185, 18.7625007629, 59.5200004578, 56.2000007629, 19.9103527069, 37.0153350830, 24.8531322479, 30.1808185577, 18.7999992371, 42.5999984741, 
1491216409, 23.4500007629, 25.8500003815, 24.8750000000, 25.5499992371, 19.3250007629, 18.2749996185, 20.2250003815, 18.6875000000, 56.3199996948, 61.7200012207, 19.8115501404, 36.6903190613, 24.6555271149, 30.2128639221, 18.7999992371, 42.7000007629, 
1491216442, 23.1499996185, 25.4375000000, 24.5000000000, 25.1375007629, 19.2124996185, 18.1625003815, 20.1124992371, 18.5750007629, 58.0000000000, 49.0000000000, 19.7981987000, 36.2661170959, 24.4872970581, 29.9519348145, 18.8999996185, 42.7999992371, 
1491216475, 22.8125000000, 25.1749992371, 24.2000007629, 24.7625007629, 19.1375007629, 18.0874996185, 20.0375003815, 18.5375003815, 44.5999984741, 68.1999969482, 19.7688255310, 35.9121093750, 24.3350887299, 29.7917137146, 19.0000000000, 42.7999992371, 
1491216508, 22.5499992371, 24.7250003815, 23.8999996185, 24.6499996185, 19.0249996185, 18.0125007629, 19.9624996185, 18.4249992371, 48.5999984741, 59.7200012207, 19.7127494812, 35.6191329956, 24.1481647491, 29.8100242615, 19.0000000000, 42.5000000000, 
1491216541, 22.2875003815, 24.4249992371, 23.5625000000, 24.1250000000, 18.9874992371, 17.9375000000, 19.8500003815, 18.3875007629, 54.5999984741, 65.4000015259, 19.6993980408, 35.2254524231, 24.0226593018, 29.7428855896, 19.1000003815, 42.0000000000, 
1491216574, 22.0249996185, 24.1625003815, 23.3374996185, 23.8624992371, 18.8750000000, 17.8624992371, 19.7749996185, 18.3125000000, 56.2000007629, 76.5199966431, 19.6566715240, 35.0194549561, 23.8544292450, 29.7154197693, 19.2000007629, 41.7000007629, 
1491216608, 21.7999992371, 23.8624992371, 23.0375003815, 23.5625000000, 18.7999992371, 17.7875003815, 19.7374992371, 18.2749996185, 57.7999992371, 55.7200012207, 19.6860446930, 34.7600517273, 23.7289237976, 29.6726932526, 19.2999992371, 41.5999984741, 
1491216641, 21.6124992371, 23.6000003815, 22.8125000000, 23.3374996185, 18.7625007629, 17.7500000000, 19.7000007629, 18.2374992371, 51.1199989319, 66.7200012207, 19.6726932526, 34.4243545532, 23.5713748932, 29.9397277832, 19.3999996185, 41.5999984741, 
1491216674, 21.5375003815, 23.3750000000, 22.5874996185, 23.1124992371, 18.6875000000, 17.7124996185, 19.6250000000, 18.2000007629, 52.7200012207, 62.2000007629, 19.6433200836, 34.1924171448, 23.4191646576, 29.8924236298, 19.5000000000, 41.7000007629, 
1491216707, 21.1625003815, 23.2625007629, 22.3624992371, 22.8500003815, 18.6499996185, 17.6749992371, 19.5874996185, 18.1625003815, 58.5200004578, 51.7999992371, 19.6566715240, 33.9757385254, 23.2936592102, 29.9305706024, 19.6000003815, 41.5999984741, 
1491216740, 20.9750003815, 22.9249992371, 22.1375007629, 22.8500003815, 18.6124992371, 17.6375007629, 19.5499992371, 18.1625003815, 64.3199996948, 53.3199996948, 19.6566715240, 33.6293601990, 23.1254291534, 30.0022888184, 19.6000003815, 41.4000015259, 
1491216773, 20.7500000000, 22.7374992371, 21.9500007629, 22.4375000000, 18.5750007629, 17.6000003815, 19.5125007629, 18.1250000000, 44.5200004578, 73.1999969482, 19.6566715240, 33.4630355835, 23.0106048584, 30.1853961945, 19.7000007629, 41.0000000000, 
1491216806, 20.6000003815, 22.5499992371, 21.7625007629, 22.2124996185, 18.5375003815, 17.5625000000, 19.4750003815, 18.0874996185, 67.9199981689, 63.1199989319, 19.6566715240, 33.2387275696, 22.8263530731, 30.1396198273, 19.7000007629, 40.9000015259, 
1491216839, 20.4500007629, 22.3250007629, 21.5750007629, 22.0249996185, 18.5000000000, 17.5249996185, 19.4375000000, 18.0874996185, 66.7200012207, 51.5999984741, 19.6299686432, 33.0144195557, 22.6874942780, 30.5394058228, 19.7000007629, 41.0999984741, 
1491216872, 20.2625007629, 22.1375007629, 21.3875007629, 21.8374996185, 18.4624996185, 17.5249996185, 19.3999996185, 18.0499992371, 59.1199989319, 74.0000000000, 19.6299686432, 32.8221549988, 22.5753421783, 30.5287246704, 19.7999992371, 41.2999992371, 
1491216905, 20.2625007629, 21.9874992371, 21.2374992371, 21.6499996185, 18.4249992371, 17.4874992371, 19.3999996185, 18.0499992371, 58.0000000000, 66.5199966431, 19.6299686432, 32.6314201355, 22.4738693237, 30.6675815582, 19.7999992371, 41.0999984741, 
1491216938, 19.9624996185, 21.8374996185, 21.1625003815, 21.5000000000, 18.4249992371, 17.4500007629, 19.3624992371, 18.0125007629, 46.5200004578, 47.9199981689, 19.6726932526, 32.4559402466, 22.3910884857, 30.6263828278, 19.8999996185, 40.7999992371, 
1491216971, 19.8500003815, 21.6875000000, 20.9375000000, 21.5375003815, 18.4249992371, 17.4500007629, 19.3624992371, 18.0125007629, 45.4000015259, 47.7200012207, 19.6726932526, 32.2972450256, 22.3216609955, 30.7713432312, 20.0000000000, 40.4000015259, 
1491217004, 19.7374992371, 21.5375003815, 20.7875003815, 21.2000007629, 18.3875007629, 17.4125003815, 19.3250007629, 17.9750003815, 58.7200012207, 61.3199996948, 19.6566715240, 32.0897216797, 22.2655830383, 31.0414276123, 20.1000003815, 39.9000015259, 
1491217037, 19.6250000000, 21.3875007629, 20.7124996185, 21.0499992371, 18.3875007629, 17.4125003815, 19.3250007629, 17.9750003815, 67.9199981689, 65.7200012207, 19.6566715240, 31.9935913086, 22.1667804718, 31.0688953400, 20.1000003815, 39.4000015259, 
1491217070, 19.5125007629, 21.2749996185, 20.5625000000, 20.9750003815, 18.3500003815, 17.4500007629, 19.3250007629, 17.9750003815, 55.1199989319, 46.9199981689, 19.6299686432, 31.7830162048, 22.1240558624, 31.0963611603, 20.2000007629, 39.2000007629, 
