datetime, TC_4, TC_3, TC_2, TC_1, TC_8, TC_7, TC_6, TC_5, Fan Current L, Fan Currrent R, T_L, RH_L, T_R, RH_R, T_Out, RH_Out
1491477216, 12.7250003815, 14.6750001907, 14.0375003815, 14.3750000000, 10.5500001907, 9.3874998093, 11.5249996185, 9.6125001907, 57.4000015259, 65.7200012207, 11.0608835220, 47.3960494995, 14.3240251541, 62.9602508545, 9.6000003815, 97.9000015259, 
1491477249, 12.6499996185, 14.3750000000, 13.8125000000, 14.1125001907, 10.4750003815, 9.3125000000, 11.4499998093, 9.5375003815, 57.5999984741, 66.3199996948, 11.0048065186, 46.7826347351, 14.1557941437, 62.2262916565, 9.6000003815, 97.9000015259, 
1491477282, 12.2375001907, 14.1499996185, 13.5500001907, 13.8874998093, 10.3999996185, 9.2375001907, 11.3750000000, 9.5000000000, 50.5999984741, 80.7200012207, 11.0048065186, 46.1539649963, 14.0009155273, 61.5457382202, 9.6000003815, 97.9000015259, 
1491477315, 12.0500001907, 13.9250001907, 13.3625001907, 13.6625003815, 10.2124996185, 9.1625003815, 11.3000001907, 9.4250001907, 59.5999984741, 56.5999984741, 10.9220266342, 45.5786972046, 13.8620586395, 60.9491119385, 9.6000003815, 97.9000015259, 
1491477348, 11.8249998093, 13.6999998093, 13.1750001907, 13.4375000000, 10.2500000000, 9.1250000000, 11.2250003815, 9.3500003815, 56.1199989319, 70.0000000000, 10.8926525116, 45.0782012939, 13.7205314636, 60.3280677795, 9.6000003815, 97.9000015259, 
1491477381, 11.6374998093, 13.4750003815, 12.9499998093, 13.2500000000, 10.2124996185, 9.0500001907, 11.1875000000, 9.2749996185, 51.2000007629, 56.9199981689, 10.8525981903, 44.5807571411, 13.5790033340, 59.6368370056, 9.6000003815, 97.9000015259, 
1491477414, 11.4499998093, 13.2875003815, 12.7624998093, 13.0249996185, 10.1374998093, 8.9750003815, 11.1125001907, 9.2375001907, 45.7999992371, 49.2000007629, 10.8098726273, 44.1763954163, 13.4534978867, 58.6434745789, 9.6000003815, 97.9000015259, 
1491477447, 11.2624998093, 13.1750001907, 12.5749998093, 12.8750000000, 10.0625000000, 8.9375000000, 11.0375003815, 9.1999998093, 60.7999992371, 46.7999992371, 10.7671470642, 43.7567710876, 13.2986192703, 57.2457466125, 9.5000000000, 97.9000015259, 
1491477480, 11.0749998093, 12.8750000000, 12.3874998093, 12.9125003815, 9.9875001907, 8.8999996185, 11.0000000000, 9.1250000000, 51.1199989319, 53.7999992371, 10.7404441833, 43.3112068176, 13.1998167038, 55.4741744995, 9.5000000000, 97.9000015259, 
1491477513, 10.8874998093, 12.6875000000, 12.2375001907, 12.5000000000, 9.9499998093, 8.7875003815, 10.9250001907, 9.0874996185, 61.5999984741, 66.0000000000, 10.7110700607, 42.9419403076, 13.1036853790, 53.5240707397, 9.5000000000, 97.9000015259, 
