datetime, TC_4, TC_3, TC_2, TC_1, TC_8, TC_7, TC_6, TC_5, Fan Current L, Fan Currrent R, T_L, RH_L, T_R, RH_R, T_Out, RH_Out
1491524680, 33.3875007629, 33.2750015259, 32.9000015259, 34.1749992371, 30.9125003815, 30.5375003815, 31.1000003815, 30.8374996185, 72.1200027466, 60.2000007629, 32.3914718628, 44.3015174866, 33.9723052979, 37.9644470215, 29.2000007629, 63.2999992371, 
1491524714, 33.1250000000, 32.9749984741, 32.7500000000, 33.9874992371, 30.8374996185, 30.4249992371, 31.0625000000, 30.7625007629, 63.7200012207, 49.7999992371, 32.3193702698, 44.1168823242, 33.7880516052, 38.2269020081, 29.2000007629, 63.2999992371, 
1491524747, 32.9375000000, 32.9749984741, 32.4500007629, 33.7625007629, 30.7625007629, 30.3500003815, 30.9500007629, 30.6499996185, 47.1199989319, 45.0000000000, 32.2926673889, 43.9627685547, 33.6625480652, 38.5366592407, 29.1000003815, 63.4000015259, 
1491524780, 32.7874984741, 32.5999984741, 32.2999992371, 33.5374984741, 30.6499996185, 30.2749996185, 30.8374996185, 30.5750007629, 55.5999984741, 49.5999984741, 32.2072181702, 43.7827110291, 33.5343704224, 38.7716484070, 29.1000003815, 63.5000000000, 
1491524813, 32.5999984741, 32.3375015259, 32.0374984741, 33.3499984741, 30.2000007629, 30.2749996185, 30.7625007629, 30.5000000000, 45.5999984741, 65.5999984741, 32.1538124084, 43.6820030212, 33.3794937134, 39.0646209717, 29.1000003815, 63.5999984741, 
1491524846, 32.3375015259, 32.2249984741, 31.9249992371, 33.1624984741, 30.5000000000, 30.1250000000, 30.6875000000, 30.3875007629, 48.9199981689, 46.1199989319, 32.0817108154, 43.5080490112, 33.2246131897, 39.3011360168, 29.1000003815, 63.5000000000, 
1491524879, 32.2625007629, 32.0000000000, 31.7374992371, 32.9749984741, 30.4249992371, 30.0499992371, 30.5750007629, 30.3125000000, 54.5200004578, 48.7999992371, 31.9962615967, 43.3661384583, 33.1124572754, 39.6551475525, 29.1000003815, 63.4000015259, 
1491524912, 32.0750007629, 31.7749996185, 31.4750003815, 32.7874984741, 30.3500003815, 29.9375000000, 30.5000000000, 30.2749996185, 50.5999984741, 53.9199981689, 31.9535369873, 43.3020515442, 32.9869537354, 39.8458824158, 29.1000003815, 63.2999992371, 
1491524945, 31.9249992371, 31.6250000000, 31.3999996185, 32.5999984741, 30.2749996185, 29.8999996185, 30.4249992371, 30.2000007629, 60.9199981689, 68.9199981689, 31.8841075897, 43.2059211731, 32.8561058044, 40.0808715820, 29.2000007629, 63.2999992371, 
1491524978, 31.7000007629, 31.6250000000, 31.1749992371, 32.4500007629, 30.2000007629, 29.8250007629, 30.3500003815, 30.1250000000, 50.4000015259, 49.9199981689, 31.8280315399, 43.1235198975, 32.7439537048, 40.3631629944, 29.2000007629, 63.2999992371, 
1491525011, 31.5874996185, 31.2875003815, 31.0625000000, 32.4500007629, 30.1250000000, 29.7500000000, 30.2749996185, 30.0499992371, 46.7999992371, 50.0000000000, 31.7719535828, 43.0136566162, 32.6184463501, 40.6607170105, 29.2000007629, 63.2000007629, 
1491525044, 31.3999996185, 31.1375007629, 30.8750000000, 32.1124992371, 30.0499992371, 29.6749992371, 30.2000007629, 29.9750003815, 50.4000015259, 50.5999984741, 31.7025260925, 42.8686943054, 32.4769210815, 40.8636589050, 29.1000003815, 63.0999984741, 
1491525077, 31.2875003815, 30.9874992371, 30.7625007629, 32.0000000000, 30.0125007629, 29.6000003815, 30.1250000000, 29.9375000000, 69.7200012207, 44.5200004578, 31.6304264069, 42.8503837585, 32.3620948792, 41.1276435852, 29.1000003815, 63.0999984741, 
