datetime, TC_4, TC_3, TC_2, TC_1, TC_8, TC_7, TC_6, TC_5, Fan Current L, Fan Currrent R, T_L, RH_L, T_R, RH_R, T_Out, RH_Out
1491043242, 8.8625001907, 10.2500000000, 9.9125003815, 10.0249996185, 10.8500003815, 9.8374996185, 11.9375000000, 10.3625001907, 65.7200012207, 56.9199981689, 12.3720149994, 37.3830795288, 11.9634542465, 54.5235366821, 9.8000001907, 97.9000015259, 
1491043275, 8.8625001907, 10.2875003815, 9.9125003815, 10.0625000000, 10.8874998093, 9.8750000000, 11.9375000000, 10.3625001907, 59.1199989319, 54.1199989319, 12.3853664398, 37.2762641907, 11.9634542465, 54.5464248657, 9.8000001907, 97.9000015259, 
1491043308, 8.8625001907, 10.2500000000, 9.9499998093, 10.0625000000, 10.9250001907, 9.9125003815, 11.9750003815, 10.3625001907, 47.0000000000, 64.4000015259, 12.3853664398, 37.2869453430, 11.9634542465, 54.5082778931, 9.8000001907, 97.9000015259, 
1491043341, 8.8625001907, 10.2500000000, 9.9125003815, 10.0625000000, 10.8874998093, 9.8750000000, 11.9750003815, 10.3999996185, 53.3199996948, 67.1999969482, 12.3853664398, 37.2304878235, 11.9207296371, 54.4579238892, 9.6999998093, 97.9000015259, 
1491043374, 8.8625001907, 10.2875003815, 9.9499998093, 10.1000003815, 10.8125000000, 9.9125003815, 11.9750003815, 10.3999996185, 62.4000015259, 65.0000000000, 12.4120702744, 37.2213325500, 11.9501028061, 54.6410331726, 9.8000001907, 97.9000015259, 
1491043407, 8.8625001907, 10.2875003815, 9.9499998093, 10.0625000000, 10.9624996185, 9.9125003815, 11.9750003815, 10.4375000000, 69.5999984741, 66.7200012207, 12.4414434433, 37.1526679993, 11.9634542465, 54.7188529968, 9.8000001907, 97.9000015259, 
1491043440, 8.8625001907, 10.2875003815, 9.9499998093, 10.0625000000, 10.9624996185, 9.9499998093, 12.0124998093, 10.4375000000, 62.7200012207, 44.9199981689, 12.4681463242, 37.1114654541, 12.0195312500, 54.7844657898, 10.0000000000, 97.9000015259, 
1491043473, 8.8999996185, 10.3249998093, 9.9875001907, 10.1000003815, 10.9624996185, 9.9875001907, 12.0500001907, 10.4375000000, 45.2000007629, 52.4000015259, 12.5242233276, 37.0290679932, 12.0462350845, 54.8012504578, 10.1000003815, 97.9000015259, 
1491043507, 8.9375000000, 10.3249998093, 9.9875001907, 10.1000003815, 11.0000000000, 9.9875001907, 12.0500001907, 10.5124998093, 66.1999969482, 59.2000007629, 12.5669488907, 36.9924468994, 12.0889596939, 54.6868095398, 10.3000001907, 97.9000015259, 
1491043540, 8.9375000000, 10.3249998093, 9.9875001907, 10.3999996185, 11.0375003815, 10.0249996185, 12.0874996185, 10.5500001907, 65.1999969482, 56.5999984741, 12.5963230133, 36.9329376221, 12.1023120880, 54.6868095398, 10.3000001907, 97.9000015259, 
1491043573, 8.9375000000, 10.3625001907, 10.0249996185, 10.1750001907, 11.0749998093, 10.0249996185, 12.1250000000, 10.5500001907, 65.5999984741, 49.7200012207, 12.6096744537, 36.8795318604, 12.0889596939, 54.6379814148, 10.1999998093, 97.9000015259, 
1491043606, 8.9750003815, 10.3999996185, 10.0625000000, 10.1750001907, 11.1125001907, 10.1000003815, 12.1250000000, 10.5500001907, 48.9199981689, 69.8000030518, 12.6230258942, 36.8795318604, 12.1610593796, 54.7417411804, 10.1999998093, 97.9000015259, 
1491043639, 9.0124998093, 10.4375000000, 10.1000003815, 10.2124996185, 11.1125001907, 10.1000003815, 12.1625003815, 10.6250000000, 56.3199996948, 46.3199996948, 12.6791028976, 36.8276481628, 12.1904325485, 54.6959648132, 10.1999998093, 97.9000015259, 
1491043672, 9.0500001907, 10.4375000000, 10.1000003815, 10.2124996185, 11.1499996185, 10.1750001907, 12.1999998093, 10.6625003815, 56.7999992371, 60.5200004578, 12.7218284607, 36.7635612488, 12.2171354294, 54.6868095398, 10.3000001907, 97.9000015259, 
1491043705, 9.1999998093, 10.4750003815, 10.1000003815, 10.2500000000, 11.1499996185, 10.1750001907, 12.1999998093, 10.6999998093, 70.5199966431, 63.7200012207, 12.7351799011, 36.7223625183, 12.2304878235, 54.8989105225, 10.3000001907, 97.9000015259, 
1491043738, 9.0874996185, 10.4750003815, 10.1750001907, 10.2500000000, 11.1875000000, 10.2124996185, 12.2749996185, 10.6999998093, 47.4000015259, 48.7999992371, 12.7351799011, 36.7360954285, 12.2304878235, 54.9248504639, 10.3000001907, 97.9000015259, 
1491043771, 9.0874996185, 10.4750003815, 10.1374998093, 10.2875003815, 47.2249984741, 25.1000003815, 17.6000003815, 47.2249984741, -0.2000000030, 66.9199981689, 12.7084760666, 37.0626373291, 12.2465095520, 54.5830459595, 10.3000001907, 97.9000015259, 
1491043804, 9.1250000000, 10.5124998093, 10.1750001907, 10.2875003815, 67.6250000000, 41.9749984741, 26.0750007629, 68.4124984741, -0.4799999893, 62.1199989319, 12.7485313416, 50.5622940063, 12.2732124329, 54.7615776062, 10.3000001907, 97.9000015259, 
1491043837, 9.1250000000, 10.5124998093, 10.1750001907, 10.3249998093, 77.3375015259, 52.7374992371, 33.4249992371, 78.3874969482, -0.2000000030, 69.3199996948, 13.0476083755, 80.9887847900, 12.2865648270, 54.7692070007, 10.3000001907, 97.9000015259, 
