datetime, TC_4, TC_3, TC_2, TC_1, TC_8, TC_7, TC_6, TC_5, Fan Current L, Fan Currrent R, T_L, RH_L, T_R, RH_R, T_Out, RH_Out
1491611212, 86.9749984741, 90.4250030518, 94.4000015259, 97.3625030518, 48.5000000000, 47.9375000000, 50.7500000000, 47.0750007629, 55.3199996948, -0.2800000012, 39.8924255371, 77.9812316895, 32.8988342285, 96.3698806763, 30.5000000000, 59.5999984741, 
1491611245, 88.5875015259, 92.2624969482, 96.1624984741, 99.0500030518, 47.1875000000, 46.6250000000, 49.0999984741, 45.9874992371, 52.7200012207, -0.4000000060, 39.7508964539, 77.7233505249, 33.0830841064, 96.0631713867, 30.6000003815, 59.2999992371, 
1491611278, 89.9749984741, 93.6500015259, 97.6624984741, 100.8125000000, 46.0625000000, 45.5374984741, 47.6749992371, 45.0499992371, 70.3199996948, -0.4000000060, 39.6387443542, 77.1938629150, 33.2673377991, 95.5992965698, 30.6000003815, 59.0999984741, 
1491611311, 91.2874984741, 95.0374984741, 99.0875015259, 102.1624984741, 45.1250000000, 44.6749992371, 46.5125007629, 44.2249984741, 59.0000000000, -0.6000000238, 39.5132369995, 76.7589874268, 33.4649429321, 95.0194549561, 30.7000007629, 59.0000000000, 
1491611344, 92.4875030518, 96.3499984741, 100.4000015259, 103.4749984741, 44.2999992371, 43.8125000000, 45.5000000000, 43.5125007629, 58.4000015259, -0.4000000060, 39.3850631714, 76.0311279297, 33.6198196411, 94.1817321777, 30.7000007629, 58.9000015259, 
1491611377, 93.6125030518, 97.5500030518, 101.5999984741, 104.6750030518, 43.5499992371, 43.1375007629, 44.5999984741, 42.8750000000, 45.4000015259, -0.6800000072, 39.2568855286, 75.3810958862, 33.7319755554, 93.1364898682, 30.7000007629, 59.0000000000, 
1491611411, 94.6624984741, 98.6374969482, 102.6875000000, 105.7624969482, 42.9124984741, 42.5000000000, 43.8499984741, 42.3125000000, 60.3199996948, -0.6800000072, 39.0753021240, 74.8851776123, 34.0150299072, 90.8018646240, 30.7999992371, 59.0999984741, 
1491611444, 95.7125015259, 99.6500015259, 103.6999969482, 106.8125000000, 42.3499984741, 41.9375000000, 43.1749992371, 41.7874984741, 52.9199981689, -0.4799999893, 38.9070739746, 74.4167251587, 34.2259864807, 88.9662017822, 30.7999992371, 59.0000000000, 
1491611477, 96.4625015259, 100.8125000000, 104.6374969482, 107.7500000000, 41.8250007629, 41.4500007629, 42.5374984741, 41.2999992371, 57.1199989319, -0.4799999893, 38.7495231628, 74.0230407715, 34.3141059875, 87.6081466675, 30.7999992371, 58.9000015259, 
1491611510, 97.2874984741, 101.4499969482, 105.5374984741, 108.7624969482, 41.3375015259, 40.9625015259, 42.0125007629, 40.8499984741, 42.5200004578, -0.6800000072, 38.5679397583, 73.5301742554, 34.4823379517, 85.9555969238, 30.7999992371, 58.7000007629, 
1491611543, 98.1125030518, 102.2750015259, 106.2500000000, 109.4749984741, 40.8125000000, 40.5125007629, 41.4500007629, 40.4375000000, 65.0000000000, -0.4799999893, 38.3409614563, 73.0037384033, 34.5944900513, 85.2552108765, 30.7999992371, 58.7000007629, 
