datetime, TC_4, TC_3, TC_2, TC_1, TC_8, TC_7, TC_6, TC_5, Fan Current L, Fan Currrent R, T_L, RH_L, T_R, RH_R, T_Out, RH_Out
1491773524, 28.2500000000, 28.1749992371, 27.6124992371, 28.9624996185, 44.9375000000, 43.6624984741, 40.8125000000, 37.0999984741, -0.4000000060, 48.5999984741, 30.2765693665, 59.0081634521, 29.9801635742, 60.9643707275, 30.1000003815, 71.4000015259, 
1491773557, 28.2875003815, 27.9125003815, 27.6124992371, 29.1124992371, 55.4749984741, 56.5999984741, 50.4500007629, 44.1500015259, -0.2800000012, 65.5199966431, 30.4474716187, 77.0778961182, 30.0095367432, 60.2639808655, 30.1000003815, 71.5999984741, 
1491773590, 28.2124996185, 27.9125003815, 27.6124992371, 28.8875007629, 62.0374984741, 64.8874969482, 57.1250000000, 49.2874984741, -0.0799999982, 62.1199989319, 30.8560314178, 94.9950408936, 30.0362396240, 59.9481201172, 30.0000000000, 71.6999969482, 
1491773623, 28.1749992371, 27.8750000000, 27.5375003815, 28.8875007629, 66.9499969482, 70.7375030518, 62.3375015259, 53.3750000000, -0.4799999893, 56.4000015259, 31.2912940979, 97.8286437988, 30.0656147003, 59.6765098572, 30.0000000000, 71.6999969482, 
1491773656, 28.1375007629, 27.8374996185, 27.5000000000, 28.8125000000, 70.8125000000, 75.2750015259, 66.5000000000, 56.6749992371, -0.4799999893, 50.5999984741, 31.7425804138, 98.7686004639, 30.0923175812, 59.5300216675, 30.0000000000, 71.5999984741, 
1491773689, 28.0625000000, 27.7250003815, 27.5375003815, 28.8125000000, 73.9625015259, 78.6500015259, 69.8750000000, 59.4124984741, -0.4799999893, 50.9199981689, 32.1377906799, 99.0966644287, 30.1216907501, 59.4705123901, 30.0000000000, 71.5999984741, 
1491773723, 28.1749992371, 27.9874992371, 27.5000000000, 28.8500003815, 76.5500030518, 81.5000000000, 72.6875000000, 61.7374992371, -0.2800000012, 60.3199996948, 32.4902725220, 99.3728561401, 30.1083393097, 59.3759078979, 30.0000000000, 71.6999969482, 
1491773756, 28.0625000000, 27.7250003815, 27.3875007629, 28.8875007629, 78.7249984741, 83.8625030518, 75.0124969482, 63.6500015259, -0.2800000012, 53.7200012207, 32.8000297546, 99.5315475464, 30.1216907501, 59.3286018372, 30.0000000000, 71.5999984741, 
1491773789, 28.0625000000, 27.7625007629, 27.3875007629, 28.8500003815, 80.5999984741, 85.8874969482, 77.0749969482, 65.3375015259, -0.2800000012, 49.3199996948, 33.0270080566, 99.6459884644, 30.1216907501, 59.3148689270, 30.0000000000, 71.5000000000, 
1491773822, 28.1000003815, 27.6499996185, 27.4249992371, 28.8125000000, 82.2125015259, 87.6875000000, 78.8000030518, 66.8375015259, -0.2000000030, 56.1199989319, 33.1952400208, 99.7619628906, 30.1644153595, 59.2980842590, 30.0000000000, 71.4000015259, 
1491773855, 28.0625000000, 27.7625007629, 27.3875007629, 28.8500003815, 83.7500000000, 89.3375015259, 80.3375015259, 68.1500015259, -0.4799999893, 52.7200012207, 33.4222183228, 99.8168945312, 30.1644153595, 59.3209724426, 30.0000000000, 71.4000015259, 
1491773888, 28.0249996185, 27.7250003815, 27.6499996185, 28.7374992371, 85.1374969482, 90.8000030518, 81.7249984741, 69.3499984741, -0.4000000060, 44.9199981689, 33.6465263367, 99.8580932617, 30.1483936310, 59.3240242004, 30.0000000000, 71.4000015259, 
1491773921, 28.1000003815, 27.6499996185, 27.5000000000, 28.7374992371, 86.3750000000, 92.1500015259, 83.0374984741, 70.4375000000, -0.4000000060, 58.4000015259, 33.8147544861, 99.8977661133, 30.1644153595, 59.3072395325, 30.0000000000, 71.4000015259, 
1491773954, 28.0625000000, 27.8750000000, 27.4624996185, 28.8500003815, 87.5000000000, 93.3874969482, 84.2375030518, 71.4499969482, -0.4799999893, 43.7200012207, 33.9856567383, 99.9389648437, 30.1644153595, 59.3698005676, 30.0000000000, 71.3000030518, 
1491773987, 28.1000003815, 27.6499996185, 27.4624996185, 28.9624996185, 88.5500030518, 94.5500030518, 85.2874984741, 72.4250030518, -0.2000000030, 46.1199989319, 34.0978088379, 99.9542236328, 30.1777667999, 59.4110031128, 30.0000000000, 71.3000030518, 
1491774020, 27.9874992371, 27.6124992371, 27.5750007629, 28.8125000000, 89.5250015259, 95.6374969482, 86.3375015259, 73.2500000000, -0.2800000012, 48.5999984741, 34.2366676331, 99.9450683594, 30.1644153595, 59.4613571167, 30.0000000000, 71.4000015259, 
1491774053, 28.0625000000, 27.6875000000, 27.5000000000, 28.8500003815, 90.4625015259, 96.6125030518, 87.2375030518, 74.1125030518, -0.2800000012, 55.5999984741, 34.3675117493, 99.9160766602, 30.2044715881, 59.4537277222, 30.0000000000, 71.4000015259, 
1491774086, 28.1000003815, 27.6875000000, 27.5000000000, 28.8125000000, 91.2874984741, 97.5124969482, 88.0999984741, 74.8625030518, -0.2000000030, 51.7200012207, 34.5197219849, 99.8016357422, 30.2204933167, 59.4750900269, 30.0000000000, 71.5000000000, 
1491774119, 28.1000003815, 27.6875000000, 27.5000000000, 28.8500003815, 92.0749969482, 98.3750000000, 88.8499984741, 75.6125030518, -0.2000000030, 47.1199989319, 34.6318778992, 99.6917648315, 30.2204933167, 59.5315475464, 30.0000000000, 71.5000000000, 
1491774152, 28.7749996185, 28.5125007629, 27.5000000000, 28.7374992371, 92.8625030518, 99.1624984741, 89.6374969482, 76.2874984741, -0.4000000060, 66.4000015259, 34.7039756775, 99.4460983276, 30.2204933167, 59.5315475464, 30.0000000000, 71.5000000000, 
1491774185, 28.1000003815, 27.6875000000, 27.6499996185, 28.7749996185, 93.5374984741, 99.8750000000, 90.3125000000, 77.0000000000, -0.6000000238, 43.3199996948, 34.8321495056, 99.0157928467, 30.2471961975, 59.5941085815, 30.1000003815, 71.0999984741, 
1491774218, 28.1375007629, 27.6875000000, 27.5000000000, 28.8125000000, 94.1374969482, 100.5500030518, 90.9124984741, 77.5999984741, -0.4000000060, 50.5999984741, 34.9443054199, 98.3108291626, 30.2471961975, 59.6124191284, 30.1000003815, 70.6999969482, 
1491774251, 28.1000003815, 27.6875000000, 27.5375003815, 28.8125000000, 94.8125000000, 101.1500015259, 91.4749984741, 78.2375030518, -0.4000000060, 67.3199996948, 35.0564575195, 97.5188827515, 30.2204933167, 59.6581993103, 30.1000003815, 70.4000015259, 
1491774285, 28.1375007629, 27.6499996185, 27.5000000000, 28.8125000000, 95.3750000000, 101.7125015259, 92.0374984741, 78.8375015259, -0.4000000060, 51.1199989319, 35.1686134338, 97.1023101807, 30.2471961975, 59.6734580994, 30.1000003815, 70.1999969482, 
1491774318, 28.1000003815, 27.7250003815, 27.5000000000, 28.8500003815, 95.9000015259, 102.2375030518, 92.5250015259, 79.4000015259, -0.0799999982, 51.5200004578, 35.3395118713, 96.8627471924, 30.2338447571, 59.6871910095, 30.1000003815, 70.1999969482, 
1491774351, 28.2500000000, 27.6499996185, 27.5000000000, 28.8500003815, 96.3499984741, 102.7249984741, 93.0500030518, 79.9250030518, -0.6000000238, 54.5999984741, 35.4943923950, 96.4644851685, 30.2471961975, 59.7085533142, 30.1000003815, 70.1999969482, 
1491774384, 28.1375007629, 27.8750000000, 27.5000000000, 28.8125000000, 96.8750000000, 103.1750030518, 93.5000000000, 80.4124984741, -0.2800000012, 47.1199989319, 35.6198959351, 96.2508621216, 30.2471961975, 59.7467002869, 30.1000003815, 70.0999984741, 
1491774417, 40.4749984741, 40.1375007629, 43.6250000000, 52.4375000000, 89.8249969482, 96.9499969482, 89.0374984741, 76.6250000000, 67.1999969482, -0.6000000238, 37.1873817444, 92.0897216797, 30.2765693665, 62.2308692932, 30.2000007629, 69.9000015259, 
1491774450, 54.9874992371, 55.1749992371, 60.5750007629, 67.6250000000, 79.2874984741, 84.0124969482, 81.3125000000, 69.5000000000, 57.3199996948, -0.6000000238, 38.5385665894, 87.6844406128, 30.4154262543, 80.5035476685, 30.2000007629, 69.5999984741, 
1491774483, 63.7625007629, 64.6250000000, 69.9499969482, 75.3874969482, 71.5999984741, 74.0749969482, 74.9000015259, 64.0999984741, 52.4000015259, -0.4799999893, 39.2008094788, 85.5741195679, 30.7545585632, 93.1151275635, 30.2000007629, 69.5999984741, 
1491774516, 69.8000030518, 71.3375015259, 76.3249969482, 80.8625030518, 65.5999984741, 66.6125030518, 69.3499984741, 59.7500000000, 57.1199989319, -0.6800000072, 39.4411392212, 84.5120925903, 31.1364154816, 95.3704147339, 30.2000007629, 69.5999984741, 
1491774549, 74.2624969482, 76.3249969482, 81.0875015259, 85.0625000000, 60.8375015259, 60.9500007629, 64.6250000000, 56.2249984741, 49.4000015259, -0.6000000238, 39.5532913208, 83.8818969727, 31.5743503571, 96.3866653442, 30.2000007629, 69.5999984741, 
1491774582, 77.7874984741, 80.1875000000, 84.6875000000, 88.5124969482, 57.0499992371, 56.7500000000, 60.6124992371, 53.3750000000, 52.5200004578, -0.8000000119, 39.6387443542, 83.2272796631, 31.9535369873, 96.8352813721, 30.2999992371, 69.5000000000, 
1491774615, 80.3750000000, 83.2624969482, 87.7624969482, 91.3625030518, 54.0125007629, 53.5250015259, 57.2750015259, 51.0875015259, 54.0000000000, -0.4799999893, 39.6520957947, 82.5223159790, 32.2926673889, 97.0290679932, 30.2999992371, 69.4000015259, 
1491774648, 82.5875015259, 85.7375030518, 90.0124969482, 93.6125030518, 51.5750007629, 51.0499992371, 54.4625015259, 49.2500000000, 62.5200004578, -0.6000000238, 39.6253929138, 81.7120590210, 32.6050949097, 97.1602935791, 30.2999992371, 69.5000000000, 
1491774681, 84.5000000000, 87.8750000000, 92.0749969482, 95.6750030518, 49.6250000000, 49.0625000000, 52.1749992371, 47.7125015259, 50.1199989319, -0.8000000119, 39.5132369995, 81.1947784424, 32.8561058044, 97.1114654541, 30.2999992371, 69.5999984741, 
1491774714, 86.1875000000, 89.7500000000, 93.8750000000, 97.4375000000, 48.0125007629, 47.4874992371, 50.1875000000, 46.4375000000, 48.9199981689, -0.6000000238, 39.4010848999, 80.7141189575, 33.0830841064, 96.9954986572, 30.2999992371, 69.8000030518, 
1491774747, 87.7249984741, 91.4375000000, 95.5625000000, 99.1250000000, 46.7000007629, 46.1749992371, 48.5750007629, 45.3499984741, 58.9199981689, -0.4799999893, 39.2435340881, 80.3967361450, 33.2673377991, 96.6674270630, 30.2999992371, 70.0999984741, 
1491774780, 89.2624969482, 92.9749984741, 97.0625000000, 100.6624984741, 45.6124992371, 45.0875015259, 47.2249984741, 44.3750000000, 46.5200004578, -0.4799999893, 39.1180267334, 79.9496459961, 33.4222183228, 96.3469924927, 30.2999992371, 70.3000030518, 
1491774814, 90.5374984741, 94.3625030518, 98.5999984741, 102.1250000000, 44.6375007629, 44.1500015259, 46.0250015259, 43.5875015259, 62.3199996948, -0.4799999893, 38.9898529053, 79.4552536011, 33.5637435913, 95.9807739258, 30.2999992371, 70.5999984741, 
1491774847, 91.7375030518, 95.6374969482, 99.7249984741, 103.4375000000, 43.7750015259, 43.4000015259, 45.0125007629, 42.8750000000, 56.7999992371, -0.4000000060, 38.8189506531, 79.1103973389, 33.7186241150, 95.3292160034, 30.2999992371, 70.8000030518, 
1491774880, 92.8249969482, 96.8750000000, 100.9625015259, 104.7125015259, 43.0999984741, 42.6500015259, 44.1500015259, 42.2000007629, 58.3199996948, -0.4799999893, 38.6373710632, 78.6037979126, 33.8307762146, 94.4548721313, 30.2999992371, 70.8000030518, 
1491774913, 93.8750000000, 97.9250030518, 102.0875015259, 105.8750000000, 42.4625015259, 42.0499992371, 43.3624992371, 41.6749992371, 46.7999992371, -0.8000000119, 38.4691390991, 78.2452087402, 33.9589538574, 93.1593780518, 30.2999992371, 70.6999969482, 
1491774946, 94.8499984741, 98.9749984741, 103.0999984741, 106.8874969482, 41.8624992371, 41.4874992371, 42.6500015259, 41.1124992371, 50.5200004578, -0.4799999893, 38.2982368469, 77.8377990723, 34.2259864807, 91.1680755615, 30.2999992371, 70.5000000000, 
