datetime, TC_4, TC_3, TC_2, TC_1, TC_8, TC_7, TC_6, TC_5, Fan Current L, Fan Currrent R, T_L, RH_L, T_R, RH_R, T_Out, RH_Out
1491563732, 92.6750030518, 92.7874984741, 53.4124984741, 65.9375000000, 29.4500007629, 27.8374996185, 31.7374992371, 26.8250007629, 55.9199981689, 0.2000000030, 18.1933326721, 75.9807739258, 12.0462350845, 93.2478790283, 9.5000000000, 58.5999984741, 
1491563765, 94.0625000000, 94.3625030518, 55.4749984741, 67.8125000000, 27.7250003815, 26.1499996185, 29.7124996185, 25.2500000000, 56.1199989319, 0.3199999928, 17.9690246582, 75.6313400269, 12.3159379959, 93.4889755249, 9.5000000000, 58.7999992371, 
1491563798, 95.3375015259, 95.7500000000, 57.2000007629, 69.4250030518, 26.2999992371, 24.6875000000, 27.9874992371, 23.9375000000, 62.5200004578, 0.1199999973, 17.6886405945, 75.2391815186, 12.5803003311, 93.4798202515, 9.3999996185, 59.0999984741, 
1491563831, 96.4625015259, 97.0999984741, 58.8125000000, 70.8499984741, 25.0625000000, 23.4500007629, 26.4874992371, 22.7749996185, 54.3199996948, 0.1199999973, 17.3655300140, 74.4533462524, 12.8339815140, 93.1425933838, 9.3000001907, 59.2000007629, 
1491563864, 97.4749984741, 98.1500015259, 60.3125000000, 72.1250000000, 23.9375000000, 22.3999996185, 25.2500000000, 21.7999992371, 60.7999992371, 0.1199999973, 17.0691242218, 74.3114395142, 12.9915313721, 92.8892974854, 9.1999998093, 59.2000007629, 
1491563897, 98.3750000000, 99.1999969482, 61.5499992371, 73.2500000000, 22.9624996185, 21.4249992371, 24.1250000000, 20.8999996185, 53.5999984741, 0.1199999973, 16.7433433533, 74.2946548462, 13.2131681442, 92.6070022583, 9.1000003815, 59.4000015259, 
1491563930, 99.2375030518, 100.1374969482, 62.7500000000, 74.2624969482, 22.0625000000, 20.6000003815, 23.1499996185, 20.1499996185, 53.7200012207, 0.3199999928, 16.4496078491, 74.1741027832, 13.4374761581, 92.2301025391, 9.1000003815, 59.7000007629, 
1491563963, 100.0250015259, 101.0374984741, 63.8750000000, 75.1624984741, 21.2749996185, 19.8125000000, 22.2500000000, 19.3999996185, 50.9199981689, 0.1199999973, 16.1692218781, 74.2793960571, 13.7071790695, 91.6502609253, 9.0000000000, 60.0000000000, 
1491563996, 100.7750015259, 101.8625030518, 64.8499984741, 76.0250015259, 20.5625000000, 19.1375007629, 21.4624996185, 18.7999992371, 48.1199989319, 0.1199999973, 15.9422445297, 74.4762344360, 13.9021129608, 91.2016448975, 9.0000000000, 60.4000015259, 
1491564029, 101.5999984741, 102.6125030518, 65.7874984741, 76.8125000000, 19.9249992371, 18.5000000000, 20.7875003815, 18.2000007629, 54.7999992371, 0.1199999973, 15.6618604660, 74.3999404907, 14.1130695343, 90.5699234009, 9.0000000000, 60.7000007629, 
1491564062, 102.0500030518, 103.3249969482, 66.7249984741, 77.4875030518, 19.3250007629, 17.9375000000, 20.1499996185, 17.6375007629, 58.0000000000, 0.2000000030, 15.4108495712, 74.5311660767, 14.3507289886, 89.8039245605, 9.0000000000, 60.9000015259, 
1491564095, 102.6500015259, 104.0374984741, 67.4749984741, 78.4250030518, 18.6124992371, 17.3750000000, 19.5499992371, 17.1499996185, 53.4000015259, 0.1199999973, 15.1678495407, 74.7524261475, 14.5510034561, 89.1905059814, 9.0000000000, 61.0000000000, 
1491564128, 103.1750030518, 104.6374969482, 68.2249984741, 78.8000030518, 18.2749996185, 16.8875007629, 19.0625000000, 16.7000007629, 48.2000007629, 0.3199999928, 14.9435415268, 74.8073577881, 14.8020143509, 88.3588943481, 9.0000000000, 61.2000007629, 
1491564162, 103.6999969482, 105.2375030518, 68.9000015259, 79.3625030518, 17.7875003815, 16.3999996185, 18.5375003815, 16.2500000000, 47.2000007629, 0.0000000000, 14.7192344666, 74.9080657959, 15.0129699707, 87.4662399292, 9.0000000000, 61.4000015259, 
1491564195, 104.1875000000, 105.8000030518, 69.5374984741, 79.8874969482, 17.3374996185, 15.9875001907, 18.0874996185, 15.8750000000, 58.3199996948, 0.0000000000, 14.5242996216, 74.9858856201, 15.2079038620, 86.8329925537, 9.1000003815, 61.9000015259, 
1491564228, 104.6750030518, 106.3249969482, 70.1750030518, 80.4124984741, 16.9249992371, 15.6125001907, 17.6749992371, 15.5000000000, 56.4000015259, 0.4000000060, 14.3240251541, 74.9309539795, 15.4215307236, 85.9906921387, 9.1999998093, 58.4000015259, 
1491564261, 105.2375030518, 106.8125000000, 70.7375030518, 80.9000015259, 16.5125007629, 15.1999998093, 17.2625007629, 15.1625003815, 48.5999984741, 0.2000000030, 14.0863656998, 74.5448989868, 15.6164646149, 84.7379226685, 9.1999998093, 58.0000000000, 
1491564294, 105.4625015259, 107.2624969482, 71.3375015259, 81.3125000000, 16.1375007629, 14.8249998093, 16.8500003815, 14.7875003815, 58.4000015259, 0.4000000060, 13.8193330765, 74.1054382324, 15.7419700623, 83.4607467651, 9.1999998093, 57.5999984741, 
1491564327, 105.3499984741, 107.3000030518, 71.9375000000, 81.6875000000, 15.6125001907, 14.4499998093, 16.5125007629, 14.4499998093, 54.3199996948, 52.9199981689, 13.5923547745, 74.1420593262, 16.1799030304, 82.1194763184, 9.1999998093, 57.5000000000, 
1491564360, 78.0124969482, 84.6875000000, 66.6875000000, 74.5250015259, 15.3874998093, 14.1125001907, 16.1000003815, 14.0749998093, 56.3199996948, 59.2000007629, 13.3279924393, 74.2030944824, 18.3428707123, 78.0849914551, 9.1999998093, 58.2999992371, 
1491564393, 60.7249984741, 69.2750015259, 58.9249992371, 65.4124984741, 15.0500001907, 13.7749996185, 15.8000001907, 13.7749996185, 50.2000007629, 57.7999992371, 13.1597623825, 74.0657653809, 19.6219577789, 73.3272323608, 9.1000003815, 58.7000007629, 
