datetime, TC_4, TC_3, TC_2, TC_1, TC_8, TC_7, TC_6, TC_5, Fan Current L, Fan Currrent R, T_L, RH_L, T_R, RH_R, T_Out, RH_Out
1490956730, 90.8375015259, 92.3375015259, 50.2249984741, 63.3125000000, 28.1749992371, 26.7500000000, 30.8750000000, 25.3250007629, 55.5200004578, 0.0000000000, 16.3374538422, 77.5905990601, 10.3051805496, 80.0259399414, 6.1999998093, 97.9000015259, 
1490956763, 92.3750000000, 94.0625000000, 52.4749984741, 65.2624969482, 26.1499996185, 24.8750000000, 28.6250000000, 23.6375007629, 44.7999992371, 0.2000000030, 16.1825733185, 77.6958847046, 10.6443119049, 79.5956344604, 6.1999998093, 97.9000015259, 
1490956796, 93.7249984741, 95.5625000000, 54.4249992371, 67.0625000000, 24.7999992371, 23.2999992371, 26.7500000000, 22.2500000000, 55.3199996948, 0.1199999973, 15.9849700928, 77.6409530640, 10.9380483627, 78.2909927368, 6.1999998093, 97.9000015259, 
1490956829, 94.9250030518, 96.9124984741, 56.1124992371, 68.5999984741, 23.4874992371, 21.9874992371, 25.1749992371, 21.0874996185, 59.1199989319, 0.1199999973, 15.7740135193, 77.6562118530, 11.2451362610, 77.6562118530, 6.1999998093, 97.9000015259, 
1490956862, 96.0124969482, 98.1500015259, 57.6124992371, 69.9875030518, 22.3624992371, 20.8624992371, 23.8250007629, 20.1124992371, 69.0000000000, 0.3199999928, 15.5497064590, 77.5738143921, 11.5976200104, 77.0504302979, 6.3000001907, 97.9000015259, 
1490956895, 96.9875030518, 99.2750015259, 59.0000000000, 71.2249984741, 21.3875007629, 19.8875007629, 22.7000007629, 19.2500000000, 66.5999984741, 0.1199999973, 15.2826738358, 77.1389312744, 11.8940258026, 76.0860595703, 6.3000001907, 97.9000015259, 
1490956928, 97.5500030518, 100.3249969482, 60.2000007629, 72.3499984741, 20.4874992371, 19.0625000000, 21.6875000000, 18.4624996185, 61.5999984741, 0.1199999973, 15.0717172623, 76.8276519775, 12.1744108200, 74.9752044678, 6.3000001907, 97.9000015259, 
1490956961, 98.3750000000, 101.3000030518, 61.3250007629, 73.3625030518, 19.5499992371, 18.2749996185, 20.8250007629, 17.7875003815, 63.9199981689, 0.0000000000, 14.8313875198, 76.7025222778, 12.3720149994, 73.7941589355, 6.3000001907, 97.9000015259, 
1490956995, 99.1999969482, 102.2750015259, 62.4500007629, 74.3375015259, 19.0249996185, 17.6000003815, 20.0375003815, 17.1499996185, 61.0000000000, 0.2000000030, 14.5803766251, 76.6079177856, 12.5402460098, 73.3592758179, 6.3000001907, 97.9000015259, 
1490957028, 99.9499969482, 103.1374969482, 63.4249992371, 75.1999969482, 18.3500003815, 16.9624996185, 19.3250007629, 16.5874996185, 52.1199989319, 0.0000000000, 14.3106737137, 76.4003982544, 12.8339815140, 72.5078201294, 6.3000001907, 97.9000015259, 
1490957061, 100.6250000000, 104.0000000000, 64.4375000000, 76.0250015259, 17.7875003815, 16.3999996185, 18.6875000000, 16.0625000000, 45.7999992371, 0.1199999973, 14.0863656998, 76.3790359497, 13.0315866470, 71.5922775269, 6.4000000954, 97.9000015259, 
