datetime, TC_4, TC_3, TC_2, TC_1, TC_8, TC_7, TC_6, TC_5, Fan Current L, Fan Currrent R, T_L, RH_L, T_R, RH_R, T_Out, RH_Out
1492207956, 85.8125000000, 89.4124984741, 93.7624969482, 98.3750000000, 46.7374992371, 46.1375007629, 48.9500007629, 45.1624984741, 54.2000007629, -0.2800000012, 38.4691390991, 77.7462387085, 31.9108104706, 98.4939346313, 29.7000007629, 61.2000007629, 
1492207989, 87.3499984741, 91.2874984741, 95.4875030518, 100.1374969482, 45.4249992371, 44.8250007629, 47.2999992371, 44.0750007629, 46.3199996948, -0.4000000060, 38.3409614563, 77.2472686768, 32.1538124084, 98.5625991821, 29.7000007629, 60.9000015259, 
1492208022, 88.6999969482, 92.7125015259, 97.2874984741, 101.5999984741, 44.3375015259, 43.7374992371, 45.9124984741, 43.1749992371, 51.5200004578, -0.6800000072, 38.2288093567, 76.7544097900, 32.3487434387, 98.6022720337, 29.7000007629, 60.7000007629, 
1492208055, 90.1250000000, 93.9124984741, 98.4124984741, 102.9499969482, 43.3250007629, 42.8375015259, 44.7500000000, 42.3499984741, 60.1199989319, -0.4000000060, 38.0338745117, 76.4888992310, 32.5623703003, 98.4664688110, 29.7999992371, 60.5000000000, 
1492208088, 91.2874984741, 95.1875000000, 99.8375015259, 104.1500015259, 42.5750007629, 42.0499992371, 43.7374992371, 41.6375007629, 52.7999992371, -0.6000000238, 37.8469505310, 76.1440429687, 32.7439537048, 98.2833633423, 29.7999992371, 60.2999992371, 
1492208121, 92.4124984741, 96.3874969482, 100.8874969482, 105.2375030518, 41.8624992371, 41.3750000000, 42.8750000000, 41.0000000000, 44.7200012207, -0.4799999893, 37.6787223816, 75.7289962769, 32.9282073975, 97.8942565918, 29.8999996185, 60.2999992371, 
1492208154, 93.4250030518, 97.4375000000, 101.9375000000, 106.2874984741, 41.1875000000, 40.7000007629, 42.0875015259, 40.4375000000, 44.5999984741, -0.4799999893, 37.5078201294, 75.2895431519, 33.1551856995, 97.2259063721, 29.8999996185, 60.2999992371, 
1492208187, 94.3249969482, 98.4124984741, 102.8750000000, 107.1875000000, 40.6250000000, 40.1375007629, 41.4124984741, 39.9124984741, 63.4000015259, -0.4799999893, 37.3556098938, 74.8928070068, 33.3955154419, 96.2081298828, 29.8999996185, 60.2999992371, 
1492208220, 95.1875000000, 99.4625015259, 103.6999969482, 108.0875015259, 40.0999984741, 39.6500015259, 40.8125000000, 39.4249992371, 62.3199996948, -0.6000000238, 37.1713600159, 74.5143814087, 33.6331748962, 95.0102996826, 29.8999996185, 60.2000007629, 
1492208254, 95.9749984741, 100.1374969482, 104.6750030518, 108.9499969482, 39.6124992371, 39.1624984741, 40.2125015259, 38.9749984741, 63.1199989319, -0.4799999893, 37.0164794922, 74.0932312012, 33.8307762146, 94.4090957642, 30.0000000000, 60.0999984741, 
1492208287, 96.6875000000, 100.8874969482, 105.2750015259, 109.8125000000, 39.1250000000, 38.7125015259, 39.7249984741, 38.5250015259, 58.0000000000, -0.4799999893, 36.8615989685, 73.6400375366, 34.0150299072, 93.9116516113, 30.1000003815, 59.9000015259, 
1492208320, 97.3625030518, 101.5625000000, 105.9124984741, 110.4124984741, 38.7500000000, 38.2999992371, 39.2750015259, 38.1875000000, 43.5200004578, -0.6000000238, 36.6933708191, 73.0296783447, 34.1832618713, 93.2371978760, 30.1000003815, 59.7000007629, 
1492208353, 98.0374984741, 102.2375030518, 106.5500030518, 111.0500030518, 38.3375015259, 37.9249992371, 38.8250007629, 37.8875007629, 44.2000007629, -0.6000000238, 36.5358200073, 72.4025344849, 34.3141059875, 92.8435211182, 30.1000003815, 59.5000000000, 
1492208386, 98.5999984741, 102.8750000000, 107.0374984741, 111.5749969482, 38.0000000000, 37.5499992371, 38.4124984741, 37.4749984741, 48.5200004578, -0.6800000072, 36.3969650269, 71.4869918823, 34.4396133423, 92.4834060669, 30.2000007629, 59.2999992371, 
1492208419, 99.1624984741, 103.4000015259, 107.5625000000, 112.0625000000, 37.6250000000, 37.2125015259, 38.0000000000, 37.1375007629, 55.5200004578, -0.4000000060, 36.2420845032, 70.2891616821, 34.5784683228, 92.0836181641, 30.2000007629, 59.0999984741, 
1492208452, 99.7249984741, 103.8499984741, 108.0500030518, 112.4749984741, 37.2874984741, 36.8375015259, 37.6624984741, 36.7999992371, 58.5999984741, -0.8000000119, 36.0711822510, 68.9692535400, 34.6906242371, 91.7082443237, 30.2999992371, 59.0000000000, 
1492208485, 100.1374969482, 104.5625000000, 108.5000000000, 112.8499984741, 36.9124984741, 36.5000000000, 37.2874984741, 36.5000000000, 50.7200012207, -0.4799999893, 35.9163055420, 67.6432418823, 34.8214683533, 91.2153778076, 30.2999992371, 58.9000015259, 
1492208518, 100.5875015259, 104.8249969482, 109.0999984741, 113.2624969482, 36.5750007629, 36.1624984741, 36.9874992371, 36.1624984741, 60.9199981689, -0.6800000072, 35.7774467468, 66.2516250610, 34.9603271484, 90.6782608032, 30.3999996185, 58.7999992371, 
1492208551, 97.4375000000, 102.2375030518, 105.1624984741, 104.6750030518, 36.3125000000, 35.8624992371, 36.6500015259, 35.8624992371, 50.2000007629, 44.5999984741, 35.6065444946, 64.7226638794, 37.0057983398, 84.3930740356, 30.3999996185, 58.5999984741, 
1492208584, 84.8750000000, 90.1999969482, 89.8249969482, 86.1875000000, 35.9749984741, 35.5625000000, 36.3125000000, 35.5999984741, 48.5999984741, 69.5999984741, 35.4943923950, 63.1052093506, 39.5345993042, 75.3261642456, 30.3999996185, 58.4000015259, 
1492208617, 74.9375000000, 80.3000030518, 78.2750015259, 75.1999969482, 35.6749992371, 35.2625007629, 36.0125007629, 35.4124984741, 51.5999984741, 56.7999992371, 35.3261604309, 61.2527656555, 40.3677406311, 72.3353958130, 30.3999996185, 58.2999992371, 
1492208650, 67.4000015259, 72.3874969482, 69.6875000000, 67.5500030518, 35.3750000000, 34.9625015259, 35.7125015259, 35.0374984741, 56.5200004578, 54.0000000000, 35.1552619934, 59.5117111206, 40.7763023376, 70.8476409912, 30.3999996185, 58.2000007629, 
1492208683, 61.5875015259, 66.0875015259, 63.2374992371, 61.8499984741, 35.1124992371, 34.6624984741, 35.4500007629, 34.7750015259, 55.7200012207, 59.4000015259, 35.0137329102, 57.8454246521, 40.9178314209, 70.0556945801, 30.3999996185, 58.0999984741, 
1492208716, 57.1250000000, 61.2500000000, 58.2874984741, 57.4625015259, 34.8125000000, 34.4000015259, 35.1500015259, 34.5125007629, 59.5999984741, 42.7999992371, 34.8588523865, 56.3714027405, 40.8884582520, 69.6940536499, 30.3999996185, 58.2000007629, 
