datetime, TC_4, TC_3, TC_2, TC_1, TC_8, TC_7, TC_6, TC_5, Fan Current L, Fan Currrent R, T_L, RH_L, T_R, RH_R, T_Out, RH_Out
1488359247, 21.7999992371, 22.0249996185, 21.0125007629, 22.4750003815, 39.4625015259, 38.6375007629, 35.8624992371, 30.9125003815, -0.4799999893, 53.1199989319, 22.9144725800, 31.8577861786, 23.2429237366, 35.5733566284, 20.2999992371, 97.6999969482, 
1488359280, 21.7999992371, 21.7625007629, 21.1250000000, 22.4375000000, 50.8250007629, 53.2625007629, 46.7000007629, 38.9375000000, -0.8799999952, 52.5200004578, 22.9705505371, 41.7227439880, 23.3283748627, 35.7076377869, 20.2000007629, 97.6999969482, 
1488359313, 21.7999992371, 21.7250003815, 21.0125007629, 22.4375000000, 58.0625000000, 62.5625000000, 54.0875015259, 44.8250007629, -0.4799999893, 67.1200027466, 23.1841754913, 58.9578094482, 23.3710994720, 36.0555419922, 20.1000003815, 97.6999969482, 
1488359346, 21.7250003815, 21.6875000000, 20.9750003815, 22.3624992371, 63.6875000000, 69.2750015259, 59.8624992371, 49.5125007629, -0.4799999893, 46.5200004578, 23.4645614624, 74.7386856079, 23.3577480316, 36.1562538147, 20.0000000000, 97.6999969482, 
1488359379, 21.6875000000, 21.6499996185, 20.8999996185, 22.3624992371, 68.1500015259, 74.3750000000, 64.4375000000, 53.3750000000, -0.4000000060, 47.5200004578, 23.7476158142, 86.6727676392, 23.3844509125, 36.3302040100, 20.0000000000, 97.6999969482, 
1488359412, 21.6875000000, 21.5750007629, 20.8999996185, 22.2875003815, 71.8249969482, 78.4250030518, 68.2249984741, 56.4874992371, -0.4799999893, 51.1199989319, 24.1241321564, 93.0693511963, 23.3577480316, 36.4293899536, 19.8999996185, 97.6999969482, 
1488359445, 21.6124992371, 21.5750007629, 20.8624992371, 22.2875003815, 74.8625030518, 81.6500015259, 71.3375015259, 59.1875000000, -0.4000000060, 62.0000000000, 24.4232082367, 94.9996185303, 23.3844509125, 36.4721145630, 19.7999992371, 97.6999969482, 
1488359478, 21.5750007629, 21.5000000000, 20.8250007629, 22.2500000000, 77.3750000000, 84.3125000000, 73.9625015259, 61.4375000000, -0.4000000060, 46.2000007629, 24.7035942078, 95.8098754883, 23.3710994720, 36.6170730591, 19.7999992371, 97.6999969482, 
1488359511, 21.5750007629, 21.7250003815, 20.7875003815, 22.2124996185, 79.5500030518, 86.5625000000, 76.2125015259, 63.3499984741, -0.6000000238, 72.4000015259, 24.9439239502, 96.0585937500, 23.3710994720, 36.6140213013, 19.7000007629, 97.6999969482, 
1488359545, 21.5375003815, 21.4624996185, 20.8624992371, 22.1749992371, 81.3499984741, 88.4375000000, 78.1250000000, 65.0374984741, -0.4799999893, 58.0000000000, 25.2109565735, 96.3088455200, 23.3710994720, 36.7589836121, 19.7000007629, 97.6999969482, 
1488359578, 21.5000000000, 21.4249992371, 20.7500000000, 22.1749992371, 82.8874969482, 90.1250000000, 79.8125000000, 66.5374984741, -0.4799999893, 59.5200004578, 25.3791866302, 96.2218627930, 23.3577480316, 36.8596916199, 19.6000003815, 97.6999969482, 
1488359611, 21.5000000000, 21.3875007629, 20.7500000000, 22.1749992371, 84.3499984741, 91.5500030518, 81.2750015259, 67.8499984741, -0.2000000030, 53.9199981689, 25.5901432037, 96.2737503052, 23.3710994720, 36.9710845947, 19.6000003815, 97.6999969482, 
1488359644, 21.4624996185, 21.3875007629, 20.7124996185, 22.1000003815, 85.5500030518, 92.8249969482, 82.5875015259, 69.0500030518, -0.2800000012, 51.9199981689, 25.8144512177, 96.1867675781, 23.3577480316, 37.0016021729, 19.6000003815, 97.6999969482, 
1488359677, 21.4249992371, 21.3500003815, 20.6749992371, 22.1000003815, 86.6750030518, 93.9875030518, 83.7500000000, 70.0625000000, -0.2800000012, 52.3199996948, 25.9960327148, 96.0479125977, 23.3283748627, 37.1023101807, 19.5000000000, 97.6999969482, 
1488359710, 21.4624996185, 21.3125000000, 20.6749992371, 22.1000003815, 87.6500015259, 95.0374984741, 84.8000030518, 71.0374984741, -0.4000000060, 56.3199996948, 26.2390327454, 95.6054000854, 23.3417263031, 37.0992584229, 19.5000000000, 97.6999969482, 
1488359743, 21.5750007629, 21.3125000000, 20.6375007629, 22.0625000000, 88.5124969482, 95.9375000000, 85.7375030518, 71.9375000000, -0.4799999893, 53.5200004578, 26.4339656830, 94.9736785889, 23.3283748627, 37.1404609680, 19.3999996185, 97.6999969482, 
1488359776, 21.3875007629, 21.5000000000, 20.6749992371, 22.0625000000, 89.3750000000, 96.8000030518, 86.5999984741, 72.8000030518, -0.4000000060, 44.7999992371, 26.6315708160, 94.3724746704, 23.2989997864, 37.2259101868, 19.3999996185, 97.6999969482, 
1488359809, 21.3875007629, 21.2749996185, 20.6749992371, 22.2500000000, 90.0875015259, 97.5875015259, 87.3874969482, 73.6250000000, -0.6000000238, 61.0000000000, 26.8719005585, 93.8689270020, 23.3283748627, 37.2808418274, 19.3999996185, 97.6999969482, 
1488359842, 21.3875007629, 21.2374992371, 20.6375007629, 22.0249996185, 90.8000030518, 98.3375015259, 88.0999984741, 74.3375015259, -0.2800000012, 44.9199981689, 27.0828571320, 93.3012924194, 23.2989997864, 37.2823677063, 19.2999992371, 97.6999969482, 
1488359875, 21.3500003815, 21.2374992371, 20.6000003815, 21.9874992371, 91.4000015259, 98.9749984741, 88.7750015259, 75.0500030518, -0.4799999893, 51.5200004578, 27.2644386292, 92.6008987427, 23.2856483459, 37.3510322571, 19.2999992371, 97.6999969482, 
1488359908, 21.3500003815, 21.2374992371, 20.6000003815, 21.9874992371, 92.0374984741, 99.6125030518, 89.4124984741, 75.7249984741, -0.2800000012, 56.0000000000, 27.5047683716, 91.6868820190, 23.2856483459, 37.3647651672, 19.2999992371, 97.6999969482, 
1488359941, 21.3500003815, 21.2000007629, 20.5625000000, 21.9874992371, 92.5999984741, 100.1750030518, 89.9749984741, 76.3625030518, -0.6000000238, 62.5200004578, 27.7157249451, 90.9346160889, 23.2722969055, 37.3952865601, 19.2000007629, 97.6999969482, 
1488359974, 21.3125000000, 21.1625003815, 20.5625000000, 21.9874992371, 93.1250000000, 100.7375030518, 90.5000000000, 76.9250030518, -0.4000000060, 58.7999992371, 27.9533843994, 90.0755310059, 23.2429237366, 37.5356674194, 19.2000007629, 97.6999969482, 
